aid,1,2,3,4,5
a1960_024,a1960_014,a1960_021,a1994_001,a1962_011,a1960_063
a1960_025,a1962_002,a1960_064,a1960_011,a1961_011,a1962_013
a1960_026,a1977_006,a1965_009,a1961_047,a1966_007,a1964_011
a1960_027,a1963_009,a1964_031,a1977_012,a2003_008,a1975_006
a1960_029,a1961_049,a1962_047,a1962_056,a1977_006,a1962_002
a1960_031,a2001_034,a2002_013,a1964_054,a1975_007,a1983_001
a1960_034,a2000_008,a1995_018,a2001_023,a1994_003,a1995_014
a1960_035,a1998_011,a1998_015,a1975_003,a1958_006,a1998_003
a1960_036,a2002_010,a1980_014,a1998_013,a1995_013,a1983_005
a1960_037,a1988_007,a1989_002,a1985_025,a1989_004,a1985_008
a1960_058,a2003_001,a1961_002,a1963_005,a1961_033,a1960_023
a1960_063,a1961_032,a1962_010,a1962_013,a1961_004,a2002_026
a1960_064,a1960_025,a1961_011,a1960_020,a1962_002,a1960_011
a1960_065,a1991_005,a1989_010,a1985_026,a1977_003,a1991_002
a1960_077,a1960_029,a1961_049,a1962_047,a1960_025,a1962_002
a1960_091,a1962_009,a1960_011,a1960_015,a1961_011,a1962_013
a1960_099,a1988_015,a1993_002,a1974_006,a1960_036,a2002_010
a1960_103,a2002_013,a1975_007,a2001_034,a1999_04,a1964_054
a1961_001,a1974_002,a1977_004,a1960_016,a1960_010,a1960_013
a1961_002,a2003_001,a1960_058,a1963_005,a1961_033,a1966_006
a1961_003,a1977_006,a1966_003,a1975_007,a1959_026,a1963_006
a1961_004,a1961_032,a1962_004,a1962_010,a1999_045,a1999_046
a1961_005,a1961_018,a1960_012,a1962_023,a1960_024,a1962_011
a1961_006,a1961_002,a1960_058,a2003_001,a1963_005,a1961_033
a1961_007,a1961_054,a1962_001,a1963_054,a1961_004,a1961_032
a1961_011,a1960_011,a1989_023,a1960_064,a1962_013,a1962_002
a1961_018,a1962_011,a1994_001,a1960_012,a1963_005,a1960_022
a1961_025,a1960_064,a1962_066,a1960_020,a1960_014,a1960_024
a1961_032,a1962_010,a2002_026,a1962_013,a1961_004,a1960_015
a1961_033,a1966_006,a1977_007,a1964_005,a1965_023,a1963_005
a1961_047,a1977_011,a1963_006,a1966_007,a1964_011,a1966_003
a1961_049,a1962_056,a1962_002,a1962_047,a1960_011,a1960_025
a1961_054,a1961_007,a1962_001,a1963_054,a1961_004,a1960_018
a1962_001,a1961_032,a1961_004,a1962_013,a1962_056,a1962_010
a1962_002,a1960_011,a1960_025,a1962_013,a1961_011,a1989_023
a1962_003,a1962_050,a1977_012,a1963_009,a2002_004,a1964_031
