a1947_001, -24.28910520843112,-52.966690906079904,-76.4431573072793,-76.34236315931761,-152.85486817664358,-102.8402519962768,-153.50842416424814
a1947_003, -23.815708967875118,-50.47849537134969,-76.90311184340673,-77.99705214376587,0.0,-103.36905153237691,-157.206855714979
a1947_006, -23.908529929863484,-50.44622758442938,-78.51532698410372,-77.90960417893714,0.0,-103.50903360309886,0.0
a1948_001, -23.96204533980149,-51.458690034467075,-75.9966226212562,-76.11429534614366,-152.32442889913284,-101.84503676832293,0.0
a1949_001, -22.833794009352665,-47.824101483039904,-73.78000841782513,-74.71085798469872,-151.07163736518464,0.0,-148.9636157332226
a1949_002, -22.504341887696498,-47.397539935530496,-73.84328759086287,-73.81542392079092,-147.7726762436834,-97.56010097575327,-148.3890586904544
a1952_014, -24.07063779766598,-51.19158751024825,-77.77748367794267,-76.07750535201065,-153.66461894198787,-101.93273255289964,0.0
a1953_001, -23.796774946425614,-49.71252120347677,-74.98936460064179,-75.59688470383557,0.0,0.0,0.0
a1953_003, -23.318153551084542,-48.5086307466744,-73.18831749673468,-73.44230490945749,-147.5521240777811,-98.03223378595254,-146.87177355455302
a1953_004, -23.23722715516079,-49.01216986932611,-75.47401434225759,-73.92709510826967,0.0,0.0,-149.4612117686255
a1954_002, -23.36487595246545,-49.10093142141844,-73.28634487406809,-73.37137898942018,0.0,0.0,-146.70794364946275
a1954_003, -24.166949302029625,-51.35955720044349,-76.66765009513483,-76.96527183005685,-153.7831970943585,-102.64506290884566,0.0
a1954_004, -23.578865820317837,-48.71211112172326,-74.37638493335545,-76.16259453745575,0.0,-101.297064606831,-151.46295014829386
a1954_005, -23.801529817228285,-49.257086422919095,-74.78962987540693,-77.09032465388465,0.0,0.0,0.0
a1954_008, -23.741828745029483,-49.937703499170816,-75.42695648912945,-75.23856189723699,0.0,-100.50817040504272,0.0
a1954_009, -23.971071949806372,-49.403468302895945,-74.8431478404266,-76.28273659952377,0.0,0.0,-152.86215947033205
a1954_010, -24.08886179694739,-50.54497203482575,-78.96671893983377,-76.35197383878321,0.0,-102.59915483354366,0.0
